"code","dispositif","libelle","modalite","public_cible","contenu","objectifs","periode","theme_code","theme_origine","duree"
"10643","21D0020014","CAPPEI - MODULES DE TRONC COMMUN","L","A0","Modules de tronc commun (144h) :- Éducation inclusive : enjeux éthiques et sociétaux (18h)- Cadre législatif et réglementaire - mise en oeuvre (18h)- Institutions, cultures, pratiques des professionnels (18h)- Les relations - parcours de formation avec les familles (18h)- Identifier, analyser, prendre les élèves à besoins éducatifs particuliers (48h)- Exercer dans l'école inclusive (24h)","L'éducation inclusive est avant tout un projet pour l'Ecole, rendant possible une scolarité à la fois adaptée et ordinaire, pour tous les élèves. S'approprier ce concept ets es enjeux nécessite de le mettre en relation avec plusieurs autres concepts (intégration, ségrégation, handicap, besoins éducatifs particuliers, etc.), mais aussi avec les textes législatifs et réglementaires et avec les dispositifs et structures sur le territoire.","Sep","FSPA","002","144"
"10644","21D0020014","CAPPEI - MODULES D'APPROFONDISSEMENT","L","A0","4 modules d'approfondissement sont mis en oeuvre et proposés :- Troubles des fonctions cognitives (52h) : du 18 octobre au 22 octobre 2021 et du 06 décembre 2021 au 10 décembre 2021- Troubles spécifiques du langage et des apprentissages (52h) : du 31 janvier 2022 au 04 février 2022 et du 04 avril 2022 au 08 avril 2022- Grande difficulté scolaire 2 (52h) : du 18 octobre au 22 octobre 2021 et du 06 décembre 2021 au 10 décembre 2021- Difficulté de compréhension des attentes de l'école (52h) : du 31 janvier 2022 au 04 février 2022 et du 04 avril 2022 au 08 avril 2022","En complément du tronc commun (et notamment des enseignements dispensés dans les modules 5 et 6), les modules permettent d'approfondir, d'une part, les connaissances et les réponses pédagogiques à apporter aux élèves présentant des troubles spécifiques du langage et des apprentissages, d'autre part, les spécificités de la professionnalisation de la coopération avec les familles et les autres personnels contribuant à la scolarisation. Ces modules ont comme objectif le transfert des apports de spécificité auprès de l'ensemble des élèves à besoins éducatifs particuliers en difficultés graves et persistantes.","Oct","FSPA","002","105"
"10645","21D0020014","CAPPEI - MODULE DE PROFESSIONNALISATION","L","A0","3 Modules de professionnalisation dans l'emploi. 52h de formation par module.- RASED- ULIS- EREA - SEGPA","Professionnalisation dans l'emploi des enseignants spécialisés à dominante : - RASED : aide à dominante pédagogique (AP) et aide à dominante relationnelle (AR)- ULIS : coordonnateurs d'une unité localisée pour l'inclusion scolaire (ULIS) dans le premier et second degré- SEGPA : professeurs chargés de l'enseignement et de l'aide pédagogique auprès des élèves des ""établissements et sections d'enseignement général et professionnel adapté (SEGPA - EREA)","Sep","FSPA","002","51"
"10646","21D0020015","Animations pédagogiques - cycle 1","S","A1","Former et accompagner les enseignants du cycle 1  dans la mise en place des programmesFormer et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires des élèves et à la réussite scolaire.Analyse des pratiques de classe.","Former et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires desélèves et à la réussite scolaire.","Nov","106","002","6"
"10647","21D0020015","Animations pédagogiques - Cycle 2","S","A1","Former et accompagner les enseignants du cycle 2  dans la mise en place des programmesFormer et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires des élèves et à la réussite scolaire.Analyse des pratiques de classe.","Former et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires desélèves et à la réussite scolaire.","Nov","106","002","6"
"10648","21D0020015","Animations pédagogiques - Cycle 3","S","A1","Former et accompagner les enseignants du cycle 3  dans la mise en place des programmesFormer et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires des élèves et à la réussite scolaire.Analyse des pratiques de classe.","Former et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires desélèves et à la réussite scolaire.","Nov","106","002","6"
"10649","21D0020016","Animations pédagogiques - cycle 1","S","A1","Former et accompagner les enseignants du cycle 1  dans la mise en place des programmesFormer et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires des élèves et à la réussite scolaire.Analyse des pratiques de classe.","Former et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires desélèves et à la réussite scolaire.","Nov","105","002","6"
"10650","21D0020016","Animations pédagogiques - Cycle 2","S","A1","Former et accompagner les enseignants du cycle 2  dans la mise en place des programmesFormer et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires des élèves et à la réussite scolaire.Analyse des pratiques de classe.","Former et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires desélèves et à la réussite scolaire.","Nov","105","002","6"
"10651","21D0020016","Animations pédagogiques - Cycle 3","S","A1","Former et accompagner les enseignants du cycle 3  dans la mise en place des programmesFormer et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires des élèves et à la réussite scolaire.Analyse des pratiques de classe.","Former et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires desélèves et à la réussite scolaire.","Nov","105","002","6"
"10652","21D0020017","Module Château-Thierry cycle 1","S","A1","Former et accompagner les enseignants du cycle 1  dans la mise en place des programmesFormer et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires des élèves et à la réussite scolaire.Analyse des pratiques de classe.","Former et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires desélèves et à la réussite scolaire.","Nov","FTRA","002","6"
"10653","21D0020017","Module Château-Thierry cycle 2","S","A1","Former et accompagner les enseignants du cycle 2  dans la mise en place des programmesFormer et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires des élèves et à la réussite scolaire.Analyse des pratiques de classe.","Former et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires desélèves et à la réussite scolaire.","Nov","FTRA","002","6"
"10654","21D0020017","Module Château-Thierry cycle 3","S","A1","Former et accompagner les enseignants du cycle 3  dans la mise en place des programmesFormer et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires des élèves et à la réussite scolaire.Analyse des pratiques de classe.","Former et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires desélèves et à la réussite scolaire.","Nov","FTRA","002","6"
"10655","21D0020018","Module Laon cycle 1","S","A1","Former et accompagner les enseignants du cycle 1  dans la mise en place des programmesFormer et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires des élèves et à la réussite scolaire.Analyse des pratiques de classe.","Former et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires desélèves et à la réussite scolaire.","Nov","FTRA","002","6"
"10656","21D0020018","Module Laon cycle 2","S","A1","Former et accompagner les enseignants du cycle 2  dans la mise en place des programmesFormer et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires des élèves et à la réussite scolaire.Analyse des pratiques de classe.","Former et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires desélèves et à la réussite scolaire.","Nov","FTRA","002","6"
"10657","21D0020018","Module Laon cycle 3","S","A1","Former et accompagner les enseignants du cycle 3  dans la mise en place des programmesFormer et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires des élèves et à la réussite scolaire.Analyse des pratiques de classe.","Former et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires desélèves et à la réussite scolaire.","Nov","FTRA","002","6"
"10658","21D0020019","Module Guise cycle 1","S","A1","Former et accompagner les enseignants du cycle 1  dans la mise en place des programmesFormer et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires des élèves et à la réussite scolaire.Analyse des pratiques de classe.","Former et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires desélèves et à la réussite scolaire.","Nov","FTRA","002","6"
"10659","21D0020019","Module Guise cycle 2","S","A1","Former et accompagner les enseignants du cycle 2  dans la mise en place des programmesFormer et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires des élèves et à la réussite scolaire.Analyse des pratiques de classe.","Former et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires desélèves et à la réussite scolaire.","Nov","FTRA","002","6"
"10660","21D0020019","Module Guise cycle 3","S","A1","Former et accompagner les enseignants du cycle 3  dans la mise en place des programmesFormer et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires des élèves et à la réussite scolaire.Analyse des pratiques de classe.","Former et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires desélèves et à la réussite scolaire.","Nov","FTRA","002","6"
"10661","21D0020020","Module Tergnier cycle 1","S","A1","Former et accompagner les enseignants du cycle 1  dans la mise en place des programmesFormer et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires des élèves et à la réussite scolaire.Analyse des pratiques de classe.","Former et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires desélèves et à la réussite scolaire.","Nov","FTRA","002","6"
"10662","21D0020020","Module Tergnier cycle 2","S","A1","Former et accompagner les enseignants du cycle 2  dans la mise en place des programmesFormer et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires des élèves et à la réussite scolaire.Analyse des pratiques de classe.","Former et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires desélèves et à la réussite scolaire.","Nov","FTRA","002","6"
"10663","21D0020020","Module Tergnier cycle 3","S","A1","Former et accompagner les enseignants du cycle 3  dans la mise en place des programmesFormer et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires des élèves et à la réussite scolaire.Analyse des pratiques de classe.","Former et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires desélèves et à la réussite scolaire.","Nov","FTRA","002","6"
"10664","21D0020021","Module Hirson cycle 1","S","A1","Former et accompagner les enseignants du cycle 1  dans la mise en place des programmesFormer et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires des élèves et à la réussite scolaire.Analyse des pratiques de classe.","Former et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires desélèves et à la réussite scolaire.","Nov","FTRA","002","6"
"10665","21D0020021","Module Hirson cycle 2","S","A1","Former et accompagner les enseignants du cycle 2  dans la mise en place des programmesFormer et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires des élèves et à la réussite scolaire.Analyse des pratiques de classe.","Former et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires desélèves et à la réussite scolaire.","Nov","FTRA","002","6"
"10666","21D0020021","Module Hirson cycle 3","S","A1","Former et accompagner les enseignants du cycle 3  dans la mise en place des programmesFormer et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires des élèves et à la réussite scolaire.Analyse des pratiques de classe.","Former et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires desélèves et à la réussite scolaire.","Nov","FTRA","002","6"
"10667","21D0020022","Module Laonnois cycle 1","S","A1","Former et accompagner les enseignants du cycle 1  dans la mise en place des programmesFormer et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires des élèves et à la réussite scolaire.Analyse des pratiques de classe.","Former et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires desélèves et à la réussite scolaire.","Nov","FTRA","002","6"
"10668","21D0020022","Module Laonnois cycle 2","S","A1","Former et accompagner les enseignants du cycle 2  dans la mise en place des programmesFormer et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires des élèves et à la réussite scolaire.Analyse des pratiques de classe.","Former et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires desélèves et à la réussite scolaire.","Nov","FTRA","002","6"
"10669","21D0020022","Module Laonnois cycle 3","S","A1","Former et accompagner les enseignants du cycle 3  dans la mise en place des programmesFormer et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires des élèves et à la réussite scolaire.Analyse des pratiques de classe.","Former et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires desélèves et à la réussite scolaire.","Nov","FTRA","002","6"
"10670","21D0020023","Module Saint-Quentin cycle 1","S","A1","Former et accompagner les enseignants du cycle 1  dans la mise en place des programmesFormer et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires des élèves et à la réussite scolaire.Analyse des pratiques de classe.","Former et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires desélèves et à la réussite scolaire.","Nov","FTRA","002","6"
"10671","21D0020023","Module Saint-Quentin cycle 2","S","A1","Former et accompagner les enseignants du cycle 2  dans la mise en place des programmesFormer et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires des élèves et à la réussite scolaire.Analyse des pratiques de classe.","Former et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires desélèves et à la réussite scolaire.","Nov","FTRA","002","6"
"10672","21D0020023","Module Saint-Quentin cycle 3","S","A1","Former et accompagner les enseignants du cycle 3  dans la mise en place des programmesFormer et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires des élèves et à la réussite scolaire.Analyse des pratiques de classe.","Former et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires desélèves et à la réussite scolaire.","Nov","FTRA","002","6"
"10673","21D0020024","Module Saint-Quentin Nord cycle 1","S","A1","Former et accompagner les enseignants du cycle 1  dans la mise en place des programmesFormer et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires des élèves et à la réussite scolaire.Analyse des pratiques de classe.","Former et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires desélèves et à la réussite scolaire.","Nov","FTRA","002","6"
"10674","21D0020024","Module Saint-Quentin Nord cycle 2","S","A1","Former et accompagner les enseignants du cycle 2  dans la mise en place des programmesFormer et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires des élèves et à la réussite scolaire.Analyse des pratiques de classe.","Former et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires desélèves et à la réussite scolaire.","Nov","FTRA","002","6"
"10675","21D0020024","Module Saint-Quentin Nord cycle 3","S","A1","Former et accompagner les enseignants du cycle 3  dans la mise en place des programmesFormer et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires des élèves et à la réussite scolaire.Analyse des pratiques de classe.","Former et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires desélèves et à la réussite scolaire.","Nov","FTRA","002","6"
"10676","21D0020025","Module Chauny cycle 1","S","A1","Former et accompagner les enseignants du cycle 1  dans la mise en place des programmesFormer et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires des élèves et à la réussite scolaire.Analyse des pratiques de classe.","Former et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires desélèves et à la réussite scolaire.","Nov","FTRA","002","6"
"10677","21D0020025","Module Chauny cycle 2","S","A1","Former et accompagner les enseignants du cycle 2  dans la mise en place des programmesFormer et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires des élèves et à la réussite scolaire.Analyse des pratiques de classe.","Former et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires desélèves et à la réussite scolaire.","Nov","FTRA","002","6"
"10678","21D0020025","Module Chauny cycle 3","S","A1","Former et accompagner les enseignants du cycle 3  dans la mise en place des programmesFormer et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires des élèves et à la réussite scolaire.Analyse des pratiques de classe.","Former et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires desélèves et à la réussite scolaire.","Nov","FTRA","002","6"
"10679","21D0020026","Module Soissons Centre cycle 1","S","A1","Former et accompagner les enseignants du cycle 1  dans la mise en place des programmesFormer et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires des élèves et à la réussite scolaire.Analyse des pratiques de classe.","Former et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires desélèves et à la réussite scolaire.","Nov","FTRA","002","6"
"10680","21D0020026","Module Soissons Centre cycle 2","S","A1","Former et accompagner les enseignants du cycle 2  dans la mise en place des programmesFormer et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires des élèves et à la réussite scolaire.Analyse des pratiques de classe.","Former et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires desélèves et à la réussite scolaire.","Nov","FTRA","002","6"
"10681","21D0020026","Module Soissons Centre cycle 3","S","A1","Former et accompagner les enseignants du cycle 3  dans la mise en place des programmesFormer et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires des élèves et à la réussite scolaire.Analyse des pratiques de classe.","Former et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires desélèves et à la réussite scolaire.","Nov","FTRA","002","6"
"10682","21D0020027","Module Soissonnais cycle 1","S","A1","Former et accompagner les enseignants du cycle 1  dans la mise en place des programmesFormer et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires des élèves et à la réussite scolaire.Analyse des pratiques de classe.","Former et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires desélèves et à la réussite scolaire.","Nov","FTRA","002","6"
"10683","21D0020027","Module Soissonnais cycle 2","S","A1","Former et accompagner les enseignants du cycle 2  dans la mise en place des programmesFormer et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires des élèves et à la réussite scolaire.Analyse des pratiques de classe.","Former et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires desélèves et à la réussite scolaire.","Nov","FTRA","002","6"
"10684","21D0020027","Module Soissons Centre cycle 3","S","A1","Former et accompagner les enseignants du cycle 3  dans la mise en place des programmesFormer et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires des élèves et à la réussite scolaire.Analyse des pratiques de classe.","Former et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires desélèves et à la réussite scolaire.","Nov","FTRA","002","6"
"10685","21D0020028","Module Villers-Cotterêts cycle 1","S","A1","Former et accompagner les enseignants du cycle 1  dans la mise en place des programmesFormer et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires des élèves et à la réussite scolaire.Analyse des pratiques de classe.","Former et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires desélèves et à la réussite scolaire.","Nov","FTRA","002","6"
"10686","21D0020028","Module Villers-Cotterêts cycle 2","S","A1","Former et accompagner les enseignants du cycle 2  dans la mise en place des programmesFormer et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires des élèves et à la réussite scolaire.Analyse des pratiques de classe.","Former et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires desélèves et à la réussite scolaire.","Nov","FTRA","002","6"
"10687","21D0020028","Module Villers-Cotterêts cycle 3","S","A1","Former et accompagner les enseignants du cycle 3  dans la mise en place des programmesFormer et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires des élèves et à la réussite scolaire.Analyse des pratiques de classe.","Former et engager les personnels dans une démarche visant à l'amélioration des résultats scolaires desélèves et à la réussite scolaire.","Nov","FTRA","002","6"
"10688","21D0020029","Enseigner les mathématiques - départemental","L","A1","Il s'agit de développer une dynamique de formation et d'échanges sur les pratiques, au plus près des classes par la constitution de groupes de pairs  au sein des circonscriptions ou des bassins.Dans ces constellations, les professeurs travailleront ensemble, confronteront leurs pratiques, analyseront les résultats des élèves, notamment aux évaluations nationales, partageront leursinterrogations et y répondront ensemble.","Approches pratiques en mathématiques à partir des besoins exprimés par les professeurs.","Sep","106","002","6"
"10689","21D0020029","Enseigner les mathématiques - circonscription","L","A1","Il s'agit de développer une dynamique de formation et d'échanges sur les pratiques, au plus près des classes par la constitution de groupes de pairs  au sein des circonscriptions ou des bassins.Dans ces constellations, les professeurs travailleront ensemble, confronteront leurs pratiques, analyseront les résultats des élèves, notamment aux évaluations nationales, partageront leursinterrogations et y répondront ensemble.","Approches pratiques en mathématiques à partir des besoins exprimés par les professeurs.","Nov","106","002","18"
"10690","21D0020029","Visite en classe du plan mathématiques","L","A1","Il s'agit de développer une dynamique de formation et d'échanges sur les pratiques, au plus près des classes par la constitution de groupes de pairs  au sein des circonscriptions ou des bassins.Dans ces constellations, les professeurs travailleront ensemble, confronteront leurs pratiques, analyseront les résultats des élèves, notamment aux évaluations nationales, partageront leursinterrogations et y répondront ensemble.","Approches pratiques en mathématiques à partir des besoins exprimés par les professeurs.","Sep","106","002","6"
"10691","21D0020029","Groupe de travail des RMC","L","B1","Développer une dynamique de formation et d'échanges sur les pratiques, au plus près des besoins.Harmonisation des pratiques de formation dans le cadre du plan mathématiques","Approches pratiques en mathématiques - formation de formateurs","Sep","106","002","18"
"10692","21D0020029","Webinaire académique de formation","N","B1","Mise en place du plan mathématiques","Approche pratique en mathématiques à partir des besoins exprimés par les formateurs","Oct","106","002","12"
"10693","21D0020030","Enseigner le français- départemental","L","A1","Il s'agit de développer une dynamique de formation et d'échanges sur les pratiques, au plus près des classes par la constitution de groupes de pairs  au sein des circonscriptions ou des bassins.Dans ces constellations, les professeurs travailleront ensemble, confronteront leurs pratiques, analyseront les résultats des élèves, notamment aux évaluations nationales, partageront leursinterrogations et y répondront ensemble.","Approches pratiques en français à partir des besoins exprimés par les professeurs.","Sep","105","002","6"
"10694","21D0020030","Enseigner le français- circonscription","L","A1","Il s'agit de développer une dynamique de formation et d'échanges sur les pratiques, au plus près des classes par la constitution de groupes de pairs  au sein des circonscriptions ou des bassins.Dans ces constellations, les professeurs travailleront ensemble, confronteront leurs pratiques, analyseront les résultats des élèves, notamment aux évaluations nationales, partageront leursinterrogations et y répondront ensemble.","Approches pratiques en français à partir des besoins exprimés par les professeurs.","Nov","105","002","18"
